"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1686323063.337;"2023-06-09 17:04:23.337 UTC+02:00"
"PAUSE";6.083766747E2;1686323671.714;"2023-06-09 17:14:31.714 UTC+02:00"
