sensor_type,device_type,timestamps,x,y,z
magnetometer,smartphone,96315274480.0,-6.6875,-31.5,-35.0
magnetometer,smartphone,97315274480.0,-0.875,-18.8125,-41.375
magnetometer,smartphone,98315274480.0,0.4375,-29.1875,-39.75
magnetometer,smartphone,99315274480.0,-9.375,-28.6875,-43.25
magnetometer,smartphone,100315274500.0,-6.6875,-29.0,-43.5
magnetometer,smartphone,101315274500.0,-9.6875,-32.3125,-35.375
magnetometer,smartphone,102315274500.0,-7.0,-32.9375,-33.875
magnetometer,smartphone,103315274500.0,-9.3125,-29.4375,-30.125
magnetometer,smartphone,104315274500.0,-12.4375,-30.6875,-35.1875
magnetometer,smartphone,105315274500.00002,-10.875,-32.3125,-35.6875
magnetometer,smartphone,106315274500.00002,-12.9375,-33.375,-35.0625
magnetometer,smartphone,107315274500.00002,-8.5625,-37.5,-33.75
magnetometer,smartphone,108315274500.00002,-5.9375,-31.8125,-23.5625
magnetometer,smartphone,109315274500.00002,-6.125,-30.875,-28.25
magnetometer,smartphone,110315274500.00002,-8.0,-27.5,-33.5625
magnetometer,smartphone,111315274500.00002,-9.6875,-27.25,-31.375
magnetometer,smartphone,112315274500.00002,-11.6875,-26.9375,-29.5625
magnetometer,smartphone,113315274500.00002,-9.0,-33.125,-30.0
magnetometer,smartphone,114315274500.00002,-11.6875,-32.5625,-30.5
magnetometer,smartphone,115315274500.00002,-17.0,-33.6875,-27.0
magnetometer,smartphone,116315274500.00002,-7.1875,-32.625,-32.1875
magnetometer,smartphone,117315274500.00002,-1.6875,-31.0,-42.875
magnetometer,smartphone,118315274500.00002,-4.5625,-30.5625,-38.625
magnetometer,smartphone,119315274500.00002,-5.875,-30.75,-36.75
magnetometer,smartphone,120315274500.00002,-2.1875,-30.0625,-35.8125
magnetometer,smartphone,121315274500.00002,-5.5,-26.3125,-33.875
magnetometer,smartphone,122315274500.00002,-10.5625,-25.125,-35.6875
magnetometer,smartphone,123315274500.00002,-13.4375,-28.375,-36.0625
magnetometer,smartphone,124315274500.00002,-17.9375,-29.4375,-32.625
magnetometer,smartphone,125315274500.00002,-13.75,-31.875,-31.875
magnetometer,smartphone,126315274500.00002,-9.875,-29.3125,-30.0
magnetometer,smartphone,127315274500.00002,-9.875,-28.75,-29.4375
magnetometer,smartphone,128315274500.00002,-11.0625,-30.4375,-29.1875
magnetometer,smartphone,129315274500.00002,-3.875,-27.1875,-37.875
magnetometer,smartphone,130315274500.00002,-2.6875,-28.25,-38.125
magnetometer,smartphone,131315274500.00002,-0.625,-27.75,-38.3125
magnetometer,smartphone,132315274500.00002,-3.625,-27.625,-39.0625
magnetometer,smartphone,133315274500.00002,3.5,-28.875,-37.0
magnetometer,smartphone,134315274500.00002,2.0625,-29.125,-36.4375
magnetometer,smartphone,135315274500.00002,3.75,-27.75,-36.625
magnetometer,smartphone,136315274500.00002,-0.125,-29.0,-37.9375
magnetometer,smartphone,137315274500.00002,4.125,-27.3125,-37.0625
magnetometer,smartphone,138315274500.0,2.3125,-28.875,-38.8125
magnetometer,smartphone,139315274500.0,2.25,-28.1875,-40.0
magnetometer,smartphone,140315274500.0,3.8125,-31.25,-33.3125
magnetometer,smartphone,141315274500.0,-1.25,-27.875,-38.25
magnetometer,smartphone,142315274500.0,-2.75,-30.0,-35.4375
magnetometer,smartphone,143315274500.0,-2.3125,-27.5625,-34.25
magnetometer,smartphone,144315274500.0,-1.0625,-29.0,-35.1875
magnetometer,smartphone,145315274500.0,1.75,-24.6875,-25.9375
magnetometer,smartphone,146315274500.0,-3.5625,-34.6875,-33.0
magnetometer,smartphone,147315274500.0,-2.375,-32.25,-35.1875
magnetometer,smartphone,148315274500.0,-1.75,-27.9375,-40.375
magnetometer,smartphone,149315274500.0,-0.4375,-30.75,-39.4375
magnetometer,smartphone,150315274500.0,-2.125,-31.9375,-37.6875
magnetometer,smartphone,151315274500.0,-2.8125,-31.1875,-39.8125
magnetometer,smartphone,152315274500.0,-4.25,-30.6875,-39.5
magnetometer,smartphone,153315274500.0,-2.125,-31.8125,-39.8125
magnetometer,smartphone,154315274500.0,-2.125,-34.0,-36.6875
magnetometer,smartphone,155315274500.0,-5.5,-33.125,-36.0625
