"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
6.751058100E-2;3.059999943E0;-2.363999939E1;-3.234000015E1
7.748458100E-2;2.220000029E0;-2.442000008E1;-2.969999886E1
8.750358100E-2;1.019999981E0;-2.519999886E1;-2.993999863E1
9.751608100E-2;4.799999893E-1;-2.543999863E1;-3.084000015E1
1.075244140E-1;3.599999845E-1;-2.513999939E1;-3.161999893E1
1.175309140E-1;0.000000000E0;-2.460000038E1;-3.293999863E1
1.275359140E-1;3.599999845E-1;-2.442000008E1;-3.395999908E1
1.375400800E-1;1.199999973E-1;-2.477999878E1;-3.461999893E1
1.475437940E-1;5.399999619E-1;-2.400000000E1;-3.570000076E1
1.575469190E-1;-5.999999866E-2;-2.351999855E1;-3.659999847E1
1.675466960E-1;-5.999999642E-1;-2.334000015E1;-3.720000076E1
1.775491960E-1;-6.599999666E-1;-2.231999969E1;-3.786000061E1
1.875514680E-1;-8.999999762E-1;-2.207999992E1;-3.797999954E1
1.975529680E-1;-4.199999869E-1;-2.195999908E1;-3.809999847E1
2.069375830E-1;-1.259999990E0;-2.213999939E1;-3.815999985E1
2.157947250E-1;-1.259999990E0;-2.213999939E1;-3.815999985E1
0.000000000E0;-2.159999847E0;-2.261999893E1;-3.845999908E1
1.000100000E-2;-2.639999866E0;-2.279999924E1;-3.827999878E1
2.000100000E-2;-3.839999914E0;-2.321999931E1;-3.918000031E1
3.000100000E-2;-3.839999914E0;-2.273999977E1;-3.941999817E1
4.000100000E-2;-3.659999847E0;-2.243999863E1;-3.947999954E1
5.000120000E-2;-4.619999886E0;-2.303999901E1;-4.020000076E1
6.000136600E-2;-4.319999695E0;-2.268000031E1;-4.002000046E1
7.000136600E-2;-4.319999695E0;-2.231999969E1;-4.031999969E1
7.999986600E-2;-4.619999886E0;-2.202000046E1;-4.068000031E1
8.999997700E-2;-4.199999809E0;-2.147999954E1;-4.013999939E1
9.999997700E-2;-4.440000057E0;-2.177999878E1;-3.947999954E1
1.099999770E-1;-4.199999809E0;-2.160000038E1;-3.959999847E1
1.199999770E-1;-4.500000000E0;-2.231999969E1;-3.893999863E1
1.300000530E-1;-4.739999771E0;-2.195999908E1;-3.965999985E1
1.400001240E-1;-5.159999847E0;-2.160000038E1;-4.031999969E1
1.500000570E-1;-6.000000000E0;-2.237999916E1;-4.002000046E1
1.599996190E-1;-6.480000019E0;-2.189999962E1;-4.025999832E1
1.699996770E-1;-7.019999981E0;-2.202000046E1;-3.995999908E1
1.799996770E-1;-7.559999943E0;-2.219999886E1;-3.911999893E1
1.895772550E-1;-7.980000019E0;-2.250000000E1;-3.827999878E1
2.076032550E-1;-8.880000114E0;-2.321999931E1;-3.677999878E1
2.176042550E-1;-9.420000076E0;-2.334000015E1;-3.611999893E1
2.276047550E-1;-1.007999992E1;-2.327999878E1;-3.581999969E1
2.376047550E-1;-1.031999969E1;-2.268000031E1;-3.654000092E1
2.476050050E-1;-1.043999958E1;-2.195999908E1;-3.863999939E1
2.576052050E-1;-1.092000008E1;-2.153999901E1;-3.911999893E1
2.676052050E-1;-1.146000004E1;-2.142000008E1;-4.086000061E1
2.776052050E-1;-1.223999977E1;-2.153999901E1;-4.109999847E1
2.876052050E-1;-1.193999958E1;-2.076000023E1;-4.097999954E1
2.976053160E-1;-1.169999981E1;-2.052000046E1;-4.175999832E1
3.076053160E-1;-1.157999992E1;-2.034000015E1;-4.109999847E1
3.176053160E-1;-1.169999981E1;-2.034000015E1;-4.163999939E1
3.276053990E-1;-1.259999943E1;-2.100000000E1;-4.157999802E1
3.376054750E-1;-1.385999966E1;-2.153999901E1;-4.139999771E1
3.476054750E-1;-1.392000008E1;-2.129999924E1;-4.200000000E1
3.576037410E-1;-1.427999973E1;-2.118000031E1;-4.127999878E1
3.676028030E-1;-1.403999996E1;-2.093999863E1;-4.139999771E1
3.776019790E-1;-1.373999977E1;-2.100000000E1;-4.097999954E1
3.876011450E-1;-1.373999977E1;-2.093999863E1;-4.104000092E1
3.971787230E-1;-1.338000011E1;-2.069999886E1;-4.200000000E1
4.063774230E-1;-1.338000011E1;-2.069999886E1;-4.200000000E1
4.223894230E-1;-1.361999989E1;-2.100000000E1;-4.229999924E1
4.324294230E-1;-1.296000004E1;-1.992000008E1;-4.355999756E1
4.424364230E-1;-1.259999943E1;-2.027999878E1;-4.331999969E1
4.524410890E-1;-1.230000019E1;-1.985999870E1;-4.320000076E1
4.624448390E-1;-1.121999931E1;-1.865999985E1;-4.343999863E1
4.724478390E-1;-1.139999962E1;-1.895999908E1;-4.302000046E1
4.824501720E-1;-1.151999950E1;-1.842000008E1;-4.379999924E1
4.924521720E-1;-1.230000019E1;-1.889999962E1;-4.404000092E1
5.024540470E-1;-1.271999931E1;-1.913999939E1;-4.386000061E1
5.124556020E-1;-1.343999958E1;-1.979999924E1;-4.361999893E1
5.224570020E-1;-1.367999935E1;-2.045999908E1;-4.236000061E1
5.324582740E-1;-1.392000008E1;-2.093999863E1;-4.187999725E1
5.424595240E-1;-1.439999962E1;-2.184000015E1;-4.134000015E1
5.524606770E-1;-1.331999969E1;-2.123999977E1;-4.115999985E1
5.624616770E-1;-1.301999950E1;-2.045999908E1;-4.193999863E1
5.724609430E-1;-1.163999939E1;-1.931999969E1;-4.247999954E1
