,acc_phone_x,acc_phone_y,acc_phone_z,lin_acc_phone_x,lin_acc_phone_y,lin_acc_phone_z,mag_phone_x,mag_phone_y,mag_phone_z,labelCycling,labelStairs,labelWalking,labelSitting,labelOther
1970-01-01 00:00:17.261252605,-2.375048161,0.4213795066,9.864110947,-2.556399822,-0.06399999559,0.3075000048,35.375,-33.5625,-36.25,0,0,0,0,0
1970-01-01 00:00:17.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:17.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:18.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:18.261252605,-3.141192675,2.106897593,7.316680431,0.3360999823,0.9065999985,-1.56219995,32.4375,-25.5,-25.6875,0,0,0,0,0
1970-01-01 00:00:18.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:18.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:19.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:19.261252605,-4.060565948,3.79241538,6.358999729,0.8421999812000001,0.8693000078,-1.367599964,28.8125,-38.6875,-18.125,0,0,0,0,0
1970-01-01 00:00:19.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:19.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:20.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:20.261252605,-4.520252705,3.179499865,6.042964935,0.9195999503,-0.5882999897,-0.9257999659,24.75,-39.3125,-13.75,0,0,0,0,0
1970-01-01 00:00:20.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:20.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:21.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:21.261252605,-2.221819162,-5.248090267,10.49618053,5.752299786,-3.031599998,5.625299931,43.5,-17.375,-6.25,0,0,0,0,0
1970-01-01 00:00:21.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:21.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:22.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:22.261252605,-2.987963676,-10.76433086,-4.932055473,-6.189799786,-0.7188999653,-5.6087999339999985,21.125,-29.375,-33.5,0,0,0,0,0
1970-01-01 00:00:22.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:22.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:23.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:23.261252605,-9.270348549,-4.481945515,-7.948749542000001,-0.9230999947,-0.7430999875,-5.322499752,26.0,1.4375,39.5625,0,0,0,0,0
1970-01-01 00:00:23.511252605,,,,,,,,,,0,0,0,0,0
