,acc_phone_x,acc_phone_y,acc_phone_z,lin_acc_phone_x,lin_acc_phone_y,lin_acc_phone_z,mag_phone_x,mag_phone_y,mag_phone_z,labelCycling,labelStairs,labelWalking,labelSitting,labelOther
1970-01-01 01:16:50.011252605,0.07661445438999999,-0.038307227189999994,9.701305389,-0.06239999831,-0.06269999592999999,0.1284999996,-33.0625,8.6875,-38.9375,0,1,0,0,0
1970-01-01 01:16:51.011252605,-0.07661445438999999,0.1149216816,9.701305389,-0.22540000079999997,0.08169999719,0.12860000130000002,-32.0625,7.8125,-38.6875,0,1,0,0,0
1970-01-01 01:16:52.011252605,0.07661445438999999,-0.038307227189999994,9.538499832000001,-0.0746999979,-0.07509999722,-0.03790000081,-33.0,8.375,-39.3125,0,1,0,0,0
1970-01-01 01:16:53.011252605,0.07661445438999999,-0.038307227189999994,9.538499832000001,-0.04979999736000002,-0.07509999722,-0.038300000130000005,-32.875,8.4375,-39.0625,0,1,0,0,0
1970-01-01 01:16:54.011252605,0.2298433632,-0.038307227189999994,9.538499832000001,-0.04349999875,0.06909999996,0.1282999963,-32.625,8.5625,-39.6875,0,1,0,0,0
1970-01-01 01:16:55.011252605,0.2298433632,-0.038307227189999994,9.701305389,0.1132999957,-0.09389999509,0.1282999963,-33.3125,8.8125,-38.6875,0,1,0,0,0
1970-01-01 01:16:56.011252605,0.07661445438999999,-0.038307227189999994,9.538499832000001,-0.06819999963,-0.07509999722,-0.03799999878,-32.375,8.875,-38.9375,0,1,0,0,0
1970-01-01 01:16:57.011252605,0.07661445438999999,0.1149216816,9.701305389,-0.03119999915,0.06269999592999999,0.1281999946,-33.1875,8.75,-38.3125,0,1,0,0,0
1970-01-01 01:16:58.011252605,0.2298433632,0.1149216816,9.538499832000001,-0.04329999909,0.09420000017,0.1281999946,-32.375,8.75,-39.125,0,1,0,0,0
1970-01-01 01:16:59.011252605,0.07661445438999999,-0.038307227189999994,9.538499832000001,-0.05009999871,-0.06269999592999999,-0.038300000130000005,-33.0,8.5625,-38.8125,0,1,0,0,0
1970-01-01 01:17:00.011252605,0.07661445438999999,-0.038307227189999994,9.701305389,-0.06809999794,0.11289999630000001,0.1284999996,-32.375,8.5,-39.3125,0,1,0,0,0
