"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
7.151722499E1	5.235503012E1	4.901100766E0	2.135951655E1	0.000000000E0	2.853132629E2	4.900000095E0	0.000000000E0
7.250889530E1	5.235503012E1	4.901100766E0	2.135951655E1	0.000000000E0	2.853132629E2	4.900000095E0	0.000000000E0
7.352301457E1	5.235503012E1	4.901100766E0	2.135951655E1	0.000000000E0	2.853132629E2	4.900000095E0	0.000000000E0
7.451406561E1	5.235503012E1	4.901100766E0	2.135951655E1	0.000000000E0	2.853132629E2	4.900000095E0	0.000000000E0
7.552145676E1	5.235503012E1	4.901100766E0	2.135951655E1	0.000000000E0	2.853132629E2	4.900000095E0	0.000000000E0
7.652130207E1	5.235503012E1	4.901100766E0	2.135951655E1	0.000000000E0	2.853132629E2	4.900000095E0	0.000000000E0
7.751607499E1	5.235503012E1	4.901100766E0	2.135951655E1	0.000000000E0	2.853132629E2	4.900000095E0	0.000000000E0
7.851378540E1	5.235503012E1	4.901100766E0	2.135951655E1	0.000000000E0	2.853132629E2	4.900000095E0	0.000000000E0
7.951327290E1	5.235500853E1	4.901095526E0	2.115282709E1	9.739745259E-1	2.282675476E2	1.477064896E1	0.000000000E0
8.054581509E1	5.235498005E1	4.901094683E0	2.101521047E1	2.048989058E0	1.991358032E2	1.445802879E1	0.000000000E0
8.154434686E1	5.235495728E1	4.901097335E0	2.097104041E1	1.237717867E0	1.991358032E2	1.309603691E1	0.000000000E0
