"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
6.030029010E1	-4.213795185E0	-1.723825216E0	7.948749542E0
6.130029010E1	-1.302445769E0	3.792415380E0	7.153874874E0
6.230029010E1	-2.221819162E0	3.639186621E0	8.427590370E0
6.330029010E1	-2.681505919E0	3.945644379E0	8.743624687E0
6.430029010E1	-1.608903527E0	3.945644379E0	8.274360657E0
6.530029010E1	-8.427590132E-1	3.945644379E0	7.795520782E0
6.630029010E1	-7.661445439E-2	5.631162167E0	8.274360657E0
6.730029010E1	-7.661445439E-2	5.477933407E0	7.948749542E0
6.830029010E1	-6.895300746E-1	5.018246651E0	8.274360657E0
6.930029010E1	3.830722570E-1	5.171475887E0	8.906430244E0
7.030029010E1	2.298433632E-1	5.631162167E0	7.948749542E0
7.130029010E1	-6.895300746E-1	5.171475887E0	7.795520782E0
7.230029010E1	3.830722570E-1	5.324704647E0	8.274360657E0
7.330029010E1	-7.661445439E-2	5.171475887E0	8.427590370E0
7.430029010E1	-7.661445439E-2	5.477933407E0	8.111555099E0
7.530029010E1	7.661445439E-2	5.171475887E0	8.111555099E0
7.630029010E1	-7.661445439E-2	5.018246651E0	8.427590370E0
7.730029010E1	-3.447650433E0	2.260126352E0	9.069235802E0
7.830029010E1	1.149216771E0	1.953668594E0	6.837840080E0
7.930029010E1	-1.915361404E0	3.945644379E0	9.385271072E0
8.030029010E1	9.959878922E-1	3.485957623E0	9.701305389E0
8.130029010E1	5.363011956E-1	5.477933407E0	7.469909191E0
8.230029010E1	3.830722570E-1	4.865017891E0	8.111555099E0
8.330029010E1	-5.363011956E-1	5.171475887E0	1.081221485E1
8.430029010E1	-2.987963676E0	2.873042107E0	1.113782597E1
8.530029010E1	-1.455674648E0	2.873042107E0	9.864110947E0
8.630029010E1	-6.895300746E-1	4.558559895E0	9.069235802E0
8.730029010E1	-7.661445439E-2	4.558559895E0	8.111555099E0
8.830029010E1	3.830722570E-1	5.018246651E0	7.316680431E0
8.930029010E1	-7.661445439E-2	5.171475887E0	7.469909191E0
9.030029010E1	5.363011956E-1	6.090848923E0	5.726930618E0
9.130029010E1	-2.221819162E0	3.332728863E0	1.049618053E1
9.230029010E1	-3.294421434E0	2.566584110E0	1.081221485E1
9.330029010E1	-2.221819162E0	2.566584110E0	7.632715225E0
9.430029010E1	-1.302445769E0	4.711789131E0	7.948749542E0
9.530029010E1	-1.149216771E0	5.324704647E0	6.837840080E0
9.630029010E1	2.298433632E-1	3.792415380E0	8.906430244E0
9.730029010E1	-2.528276920E0	3.026270866E0	9.538499832E0
9.830029010E1	-9.959878922E-1	1.800439715E0	1.001733971E1
9.930029010E1	-2.298433632E-1	1.493981838E0	9.069235802E0
1.003002901E2	-9.959878922E-1	2.719813108E0	1.081221485E1
1.013002901E2	-2.375048161E0	3.485957623E0	8.906430244E0
1.023002901E2	-7.661445439E-2	4.405331135E0	7.948749542E0
1.033002901E2	-2.298433632E-1	4.865017891E0	8.274360657E0
1.043002901E2	5.363011956E-1	3.792415380E0	9.385271072E0
1.053002901E2	-7.661445439E-2	4.098873138E0	7.795520782E0
1.063002901E2	3.830722570E-1	4.558559895E0	8.743624687E0
1.073002901E2	-5.363011956E-1	3.945644379E0	8.743624687E0
1.083002901E2	-1.915361404E0	3.485957623E0	9.701305389E0
1.093002901E2	-2.298433632E-1	4.405331135E0	8.590395927E0
1.103002901E2	-9.959878922E-1	4.098873138E0	8.743624687E0
1.113002901E2	-7.661445439E-2	4.098873138E0	8.427590370E0
1.123002901E2	1.455674648E0	3.792415380E0	9.069235802E0
1.133002901E2	-2.068590164E0	4.405331135E0	9.385271072E0
1.143002901E2	-2.298433632E-1	5.631162167E0	8.111555099E0
1.153002901E2	5.363011956E-1	5.018246651E0	8.111555099E0
1.163002901E2	9.959878922E-1	2.106897593E0	8.427590370E0
1.173002901E2	-6.895300746E-1	3.179499865E0	9.385271072E0
1.183002901E2	-1.149216771E0	3.179499865E0	8.111555099E0
1.193002901E2	-3.447650433E0	2.873042107E0	1.034295177E1
1.203002901E2	-1.455674648E0	3.945644379E0	8.743624687E0
1.213002901E2	-7.661445439E-2	2.413355350E0	8.274360657E0
1.223002901E2	-7.661445439E-2	2.873042107E0	9.538499832E0
1.233002901E2	-3.830722570E-1	3.792415380E0	8.274360657E0
1.243002901E2	-1.608903527E0	4.252102375E0	9.538499832E0
1.253002901E2	-8.427590132E-1	3.945644379E0	6.675034523E0
1.263002901E2	7.661445439E-2	3.179499865E0	8.743624687E0
1.273002901E2	5.363011956E-1	3.026270866E0	1.001733971E1
1.283002901E2	3.830722570E-1	3.639186621E0	9.864110947E0
1.293002901E2	-1.608903527E0	1.800439715E0	1.097502041E1
1.303002901E2	-8.427590132E-1	1.800439715E0	7.795520782E0
1.313002901E2	-5.363011956E-1	2.566584110E0	7.795520782E0
1.323002901E2	-2.298433632E-1	1.800439715E0	1.049618053E1
1.333002901E2	-6.895300746E-1	2.106897593E0	8.743624687E0
1.343002901E2	-1.608903527E0	1.340752959E0	9.222464561E0
1.353002901E2	-2.528276920E0	1.340752959E0	1.081221485E1
1.363002901E2	-1.455674648E0	2.873042107E0	1.081221485E1
1.373002901E2	-9.959878922E-1	3.026270866E0	7.153874874E0
