Date,Oxygen saturation(%),Time REM(hr),Time asleep(hr),Time awake(hr),Time core(hr),Time deep(hr),Time in bed(hr)
2022-11-21 23:55:48 - 2022-11-21 23:55:52,,,,,,,0.001
2022-11-22 00:17:28 - 2022-11-22 00:19:21,,,,,,,0.031
2022-11-22 00:21:34 - 2022-11-22 07:30:02,,,,,,,7.141
2022-11-22 01:06:21,0.990,,,,,,
2022-11-22 01:18:22 - 2022-11-22 04:01:52,,,2.725,,,,
2022-11-22 01:51:29,0.920,,,,,,
2022-11-22 02:21:30,0.910,,,,,,
2022-11-22 02:51:31,0.910,,,,,,
2022-11-22 03:21:32,0.930,,,,,,
2022-11-22 04:03:52 - 2022-11-22 10:34:22,,,6.508,,,,
2022-11-22 04:21:33,0.970,,,,,,
2022-11-22 04:52:21,0.940,,,,,,
2022-11-22 05:26:22,0.940,,,,,,
2022-11-22 06:26:22,0.970,,,,,,
2022-11-22 07:54:02,0.880,,,,,,
2022-11-22 08:54:42,0.880,,,,,,
2022-11-22 09:54:42,0.900,,,,,,
2022-11-22 10:31:45,0.920,,,,,,
2022-11-22 17:54:03,0.970,,,,,,
2022-11-22 23:11:42 - 2022-11-22 23:41:57,,,,,,,0.504
2022-11-22 23:43:15 - 2022-11-22 23:54:00,,,,,,,0.179
2022-11-22 23:54:46 - 2022-11-23 00:00:25,,,,,,,0.094
2022-11-23 00:03:20 - 2022-11-23 00:05:04,,,,,,,0.029
2022-11-23 00:07:41 - 2022-11-23 00:08:13,,,,,,,0.009
2022-11-23 00:08:57 - 2022-11-23 00:21:56,,,,,,,0.216
2022-11-23 00:22:09 - 2022-11-23 00:43:15,,,,,,,0.352
2022-11-23 00:48:55 - 2022-11-23 00:51:29,,,,,,,0.043
2022-11-23 00:52:34 - 2022-11-23 01:09:29,,,,,,,0.282
2022-11-23 04:00:15 - 2022-11-23 07:30:00,,,,,,,3.496
2022-11-23 04:06:35 - 2022-11-23 04:16:35,,,0.167,,,,
2022-11-23 04:18:35 - 2022-11-23 07:30:35,,,3.200,,,,
2022-11-23 05:21:35,0.850,,,,,,
2022-11-23 05:51:36,0.960,,,,,,
2022-11-23 06:28:44,0.940,,,,,,
2022-11-23 07:02:40,0.940,,,,,,
2022-11-23 07:32:41,0.950,,,,,,
2022-11-23 10:27:38,0.890,,,,,,
2022-11-23 13:58:57,0.960,,,,,,
2022-11-23 21:50:00 - 2022-11-24 07:30:00,,,,,,,9.667
2022-11-23 21:57:05 - 2022-11-24 03:13:05,,,5.267,,,,
2022-11-23 22:18:31,0.990,,,,,,
2022-11-23 22:48:32,0.960,,,,,,
2022-11-23 23:36:25,0.970,,,,,,
2022-11-24 03:16:05 - 2022-11-24 03:18:35,,,0.042,,,,
2022-11-24 03:19:35 - 2022-11-24 05:55:35,,,2.600,,,,
2022-11-24 03:35:07,0.970,,,,,,
2022-11-24 04:05:07,0.970,,,,,,
2022-11-24 05:31:31,0.970,,,,,,
2022-11-24 06:04:05 - 2022-11-24 08:09:05,,,2.083,,,,
2022-11-24 06:04:09,0.900,,,,,,
2022-11-24 06:34:10,1.000,,,,,,
2022-11-24 07:38:49,0.950,,,,,,
2022-11-24 08:08:50,0.970,,,,,,
2022-11-24 18:16:36,0.990,,,,,,
2022-11-24 20:11:21,0.970,,,,,,
2022-11-24 23:09:26 - 2022-11-24 23:21:40,,,,,,,0.204
2022-11-24 23:21:53 - 2022-11-24 23:22:08,,,,,,,0.004
2022-11-24 23:22:23 - 2022-11-24 23:31:52,,,,,,,0.158
2022-11-24 23:40:29 - 2022-11-24 23:40:34,,,,,,,0.001
2022-11-24 23:42:14 - 2022-11-24 23:42:15,,,,,,,0.000
2022-11-24 23:48:45 - 2022-11-24 23:49:22,,,,,,,0.010
2022-11-24 23:49:39 - 2022-11-24 23:53:17,,,,,,,0.061
2022-11-24 23:53:40 - 2022-11-24 23:55:19,,,,,,,0.028
2022-11-24 23:55:37 - 2022-11-24 23:59:28,,,,,,,0.064
2022-11-25 00:00:27 - 2022-11-25 00:01:06,,,,,,,0.011
2022-11-25 00:01:18 - 2022-11-25 00:11:00,,,,,,,0.162
