Date,Oxygen saturation(%),Time REM(hr),Time asleep(hr),Time awake(hr),Time core(hr),Time deep(hr),Time in bed(hr)
2023-01-23 02:41:29 - 2023-01-23 06:21:59,,,,,,,3.675
2023-01-23 02:55:29 - 2023-01-23 03:38:59,,,,,,0.725,
2023-01-23 03:01:52,0.990,,,,,,
2023-01-23 03:38:59 - 2023-01-23 04:18:59,,,,,0.667,,
2023-01-23 03:40:38,0.990,,,,,,
2023-01-23 04:10:39,0.990,,,,,,
2023-01-23 04:18:59 - 2023-01-23 04:29:29,,,,,,0.175,
2023-01-23 04:29:29 - 2023-01-23 04:52:59,,,,,0.392,,
2023-01-23 04:51:32,0.990,,,,,,
2023-01-23 04:52:59 - 2023-01-23 05:19:59,,0.450,,,,,
2023-01-23 05:19:59 - 2023-01-23 06:21:59,,,,,1.033,,
2023-01-23 05:51:33,0.970,,,,,,
2023-01-23 06:21:34,0.970,,,,,,
2023-01-23 06:21:59 - 2023-01-23 06:22:59,,,,0.017,,,
2023-01-23 06:22:59 - 2023-01-23 06:24:29,,,,,0.025,,0.025
2023-01-23 06:24:29 - 2023-01-23 06:25:29,,,,0.017,,,
2023-01-23 06:25:29 - 2023-01-23 06:32:59,,,,,0.125,,
2023-01-23 06:25:29 - 2023-01-23 10:36:59,,,,,,,4.192
2023-01-23 06:32:59 - 2023-01-23 06:42:29,,0.158,,,,,
2023-01-23 06:42:29 - 2023-01-23 07:38:59,,,,,0.942,,
2023-01-23 06:51:35,0.970,,,,,,
2023-01-23 07:21:35,0.930,,,,,,
2023-01-23 07:38:59 - 2023-01-23 08:15:29,,0.608,,,,,
2023-01-23 08:15:29 - 2023-01-23 08:19:59,,,,,0.075,,
2023-01-23 08:19:59 - 2023-01-23 08:20:59,,0.017,,,,,
2023-01-23 08:20:59 - 2023-01-23 09:17:59,,,,,0.950,,
2023-01-23 08:21:34,0.950,,,,,,
2023-01-23 08:56:45,0.970,,,,,,
2023-01-23 09:17:59 - 2023-01-23 09:43:29,,0.425,,,,,
2023-01-23 09:26:48,0.980,,,,,,
2023-01-23 09:43:29 - 2023-01-23 10:36:59,,,,,0.892,,
2023-01-23 10:28:49,0.960,,,,,,
2023-01-23 10:36:59 - 2023-01-23 10:37:29,,,,0.008,,,
2023-01-23 10:37:29 - 2023-01-23 10:47:29,,,,,0.167,,
2023-01-23 10:37:29 - 2023-01-23 12:17:29,,,,,,,1.667
2023-01-23 10:47:29 - 2023-01-23 11:38:59,,0.858,,,,,
2023-01-23 11:06:10,0.950,,,,,,
2023-01-23 11:38:59 - 2023-01-23 12:17:29,,,,,0.642,,
2023-01-23 12:17:29 - 2023-01-23 12:18:29,,,,0.017,,,
2023-01-23 12:18:29 - 2023-01-23 12:21:29,,,,,0.050,,0.050
2023-01-23 12:21:29 - 2023-01-23 12:22:29,,,,0.017,,,
2023-01-23 12:22:29 - 2023-01-23 12:26:29,,,,,0.067,,0.067
2023-01-23 13:44:36,0.940,,,,,,
2023-01-23 15:47:56,0.990,,,,,,
2023-01-24 00:59:55 - 2023-01-24 01:01:15,,,,,,,0.022
2023-01-24 01:04:20,1.000,,,,,,
2023-01-24 01:59:39 - 2023-01-24 01:59:44,,,,,,,0.001
2023-01-24 01:59:59 - 2023-01-24 07:50:02,,,,,,,5.834
2023-01-24 02:17:11 - 2023-01-24 02:31:41,,,,,0.242,,
2023-01-24 02:17:11 - 2023-01-24 04:35:41,,,,,,,2.308
2023-01-24 02:31:41 - 2023-01-24 02:52:41,,,,,,0.350,
2023-01-24 02:52:41 - 2023-01-24 02:54:41,,,,,0.033,,
2023-01-24 02:54:41 - 2023-01-24 03:12:41,,,,,,0.300,
2023-01-24 03:12:41 - 2023-01-24 03:20:41,,,,,0.133,,
2023-01-24 03:20:41 - 2023-01-24 03:34:11,,0.225,,,,,
2023-01-24 03:34:11 - 2023-01-24 03:59:11,,,,,0.417,,
2023-01-24 03:59:11 - 2023-01-24 04:00:41,,,,,,0.025,
2023-01-24 04:00:41 - 2023-01-24 04:11:11,,,,,0.175,,
2023-01-24 04:11:11 - 2023-01-24 04:20:11,,,,,,0.150,
2023-01-24 04:20:11 - 2023-01-24 04:30:11,,,,,0.167,,
2023-01-24 04:30:11 - 2023-01-24 04:34:41,,,,,,0.075,
2023-01-24 04:34:41 - 2023-01-24 04:35:41,,,,,0.017,,
2023-01-24 04:35:41 - 2023-01-24 04:36:41,,,,0.017,,,
2023-01-24 04:36:41 - 2023-01-24 04:37:41,,,,,0.017,,0.017
2023-01-24 04:37:41 - 2023-01-24 04:39:11,,,,0.025,,,
2023-01-24 04:39:11 - 2023-01-24 04:46:11,,,,,0.117,,
2023-01-24 04:39:11 - 2023-01-24 06:07:41,,,,,,,1.475
2023-01-24 04:46:11 - 2023-01-24 05:06:11,,0.333,,,,,
2023-01-24 05:03:37,0.950,,,,,,
2023-01-24 05:06:11 - 2023-01-24 05:39:11,,,,,0.550,,
2023-01-24 05:33:38,0.970,,,,,,
2023-01-24 05:39:11 - 2023-01-24 06:01:41,,,,,,0.375,
2023-01-24 06:01:41 - 2023-01-24 06:07:41,,,,,0.100,,
2023-01-24 06:03:39,0.970,,,,,,
2023-01-24 06:07:41 - 2023-01-24 06:10:41,,,,0.050,,,
2023-01-24 06:10:41 - 2023-01-24 06:13:41,,,,,0.050,,0.050
2023-01-24 06:13:41 - 2023-01-24 06:30:41,,,,0.283,,,
2023-01-24 06:30:41 - 2023-01-24 06:33:41,,,,,0.050,,0.050
2023-01-24 06:33:41 - 2023-01-24 06:44:11,,,,0.175,,,
2023-01-24 06:36:50,0.970,,,,,,
2023-01-24 06:44:11 - 2023-01-24 06:48:41,,,,,0.075,,
2023-01-24 06:44:11 - 2023-01-24 07:49:41,,,,,,,1.092
2023-01-24 06:48:41 - 2023-01-24 07:02:11,,0.225,,,,,
2023-01-24 07:02:11 - 2023-01-24 07:49:41,,,,,0.792,,
2023-01-24 07:06:51,0.870,,,,,,
2023-01-24 07:36:52,0.890,,,,,,
2023-01-24 07:49:41 - 2023-01-24 07:51:41,,,,0.033,,,
2023-01-24 07:51:41 - 2023-01-24 07:58:41,,,,,0.117,,
2023-01-24 07:51:41 - 2023-01-24 12:29:11,,,,,,,4.625
2023-01-24 07:58:41 - 2023-01-24 08:33:11,,0.575,,,,,
2023-01-24 08:08:15,0.980,,,,,,
2023-01-24 08:33:11 - 2023-01-24 09:26:41,,,,,0.892,,
2023-01-24 09:08:16,0.950,,,,,,
2023-01-24 09:26:41 - 2023-01-24 09:51:41,,0.417,,,,,
2023-01-24 09:51:41 - 2023-01-24 10:51:11,,,,,0.992,,
2023-01-24 10:08:19,0.930,,,,,,
2023-01-24 10:38:20,0.930,,,,,,
2023-01-24 10:51:11 - 2023-01-24 11:18:11,,0.450,,,,,
2023-01-24 11:08:21,0.920,,,,,,
2023-01-24 11:18:11 - 2023-01-24 12:26:11,,,,,1.133,,
2023-01-24 11:58:14,0.980,,,,,,
2023-01-24 12:26:11 - 2023-01-24 12:29:11,,0.050,,,,,
2023-01-24 12:29:11 - 2023-01-24 12:30:41,,,,0.025,,,
2023-01-24 12:30:41 - 2023-01-24 12:32:41,,,,,0.033,,
2023-01-24 12:30:41 - 2023-01-24 12:39:11,,,,,,,0.142
2023-01-24 12:32:41 - 2023-01-24 12:39:11,,0.108,,,,,
2023-01-24 12:39:11 - 2023-01-24 12:40:41,,,,0.025,,,
2023-01-24 12:40:41 - 2023-01-24 12:47:11,,,,,0.108,,
2023-01-24 12:40:41 - 2023-01-24 12:48:11,,,,,,,0.125
2023-01-24 12:47:11 - 2023-01-24 12:48:11,,0.017,,,,,
2023-01-24 12:48:11 - 2023-01-24 12:49:41,,,,0.025,,,
2023-01-24 12:49:41 - 2023-01-24 12:50:41,,0.017,,,,,0.017
2023-01-24 15:59:29,0.980,,,,,,
2023-01-24 16:56:49,0.950,,,,,,
2023-01-25 02:03:40 - 2023-01-25 02:03:43,,,,,,,0.001
2023-01-25 02:22:24 - 2023-01-25 07:50:00,,,,,,,5.460
2023-01-25 02:55:09 - 2023-01-25 03:05:39,,,,,0.175,,0.175
2023-01-25 03:01:21,0.970,,,,,,
2023-01-25 03:05:39 - 2023-01-25 03:06:09,,,,0.008,,,
2023-01-25 03:06:09 - 2023-01-25 03:27:09,,,,,0.350,,
2023-01-25 03:06:09 - 2023-01-25 04:22:39,,,,,,,1.275
2023-01-25 03:27:09 - 2023-01-25 03:29:39,,,,,,0.042,
2023-01-25 03:29:39 - 2023-01-25 03:34:09,,,,,0.075,,
2023-01-25 03:31:22,0.970,,,,,,
2023-01-25 03:34:09 - 2023-01-25 04:22:39,,,,,,0.808,
2023-01-25 04:01:23,0.980,,,,,,
2023-01-25 04:22:39 - 2023-01-25 04:23:09,,,,0.008,,,
2023-01-25 04:23:09 - 2023-01-25 04:27:09,,,,,0.067,,
2023-01-25 04:23:09 - 2023-01-25 05:17:09,,,,,,,0.900
2023-01-25 04:27:09 - 2023-01-25 04:42:39,,0.258,,,,,
2023-01-25 04:42:39 - 2023-01-25 05:17:09,,,,,0.575,,
2023-01-25 05:01:24,0.910,,,,,,
2023-01-25 05:17:09 - 2023-01-25 05:18:09,,,,0.017,,,
2023-01-25 05:18:09 - 2023-01-25 06:10:39,,,,,0.875,,
2023-01-25 05:18:09 - 2023-01-25 12:40:09,,,,,,,7.367
2023-01-25 06:01:24,0.960,,,,,,
2023-01-25 06:10:39 - 2023-01-25 06:36:39,,0.433,,,,,
2023-01-25 06:31:50,0.930,,,,,,
2023-01-25 06:36:39 - 2023-01-25 07:42:39,,,,,1.100,,
2023-01-25 07:29:33,0.910,,,,,,
2023-01-25 07:42:39 - 2023-01-25 08:02:09,,0.325,,,,,
2023-01-25 08:02:09 - 2023-01-25 08:56:09,,,,,0.900,,
2023-01-25 08:06:06,0.970,,,,,,
2023-01-25 08:40:45,0.920,,,,,,
2023-01-25 08:56:09 - 2023-01-25 09:15:39,,0.325,,,,,
2023-01-25 09:11:15,0.960,,,,,,
2023-01-25 09:15:39 - 2023-01-25 10:20:09,,,,,1.075,,
2023-01-25 09:41:16,0.950,,,,,,
2023-01-25 10:11:17,0.970,,,,,,
2023-01-25 10:20:09 - 2023-01-25 10:43:09,,0.383,,,,,
2023-01-25 10:41:55,0.970,,,,,,
2023-01-25 10:43:09 - 2023-01-25 11:27:09,,,,,0.733,,
2023-01-25 11:11:56,0.960,,,,,,
2023-01-25 11:27:09 - 2023-01-25 11:54:09,,0.450,,,,,
2023-01-25 11:41:57,0.980,,,,,,
2023-01-25 11:54:09 - 2023-01-25 12:40:09,,,,,0.767,,
2023-01-25 12:40:09 - 2023-01-25 12:40:39,,,,0.008,,,
2023-01-25 12:40:39 - 2023-01-25 12:48:09,,,,,0.125,,0.125
2023-01-25 12:45:01,0.940,,,,,,
2023-01-25 22:43:12,0.980,,,,,,
2023-01-25 23:46:48,0.970,,,,,,
2023-01-26 01:15:33 - 2023-01-26 01:15:34,,,,,,,0.000
2023-01-26 03:46:10 - 2023-01-26 07:50:02,,,,,,,4.065
2023-01-26 03:49:37 - 2023-01-26 04:12:07,,,,,0.375,,
2023-01-26 03:49:37 - 2023-01-26 08:32:37,,,,,,,4.717
2023-01-26 04:12:07 - 2023-01-26 04:40:07,,,,,,0.467,
2023-01-26 04:26:38,0.940,,,,,,
2023-01-26 04:40:07 - 2023-01-26 04:41:37,,,,,0.025,,
2023-01-26 04:41:37 - 2023-01-26 04:44:37,,,,,,0.050,
2023-01-26 04:44:37 - 2023-01-26 04:51:37,,,,,0.117,,
2023-01-26 04:51:37 - 2023-01-26 05:04:07,,,,,,0.208,
2023-01-26 05:04:07 - 2023-01-26 05:10:07,,,,,0.100,,
2023-01-26 05:10:07 - 2023-01-26 05:31:07,,0.350,,,,,
2023-01-26 05:31:07 - 2023-01-26 05:56:37,,,,,0.425,,
2023-01-26 05:56:37 - 2023-01-26 06:06:07,,,,,,0.158,
2023-01-26 06:06:07 - 2023-01-26 06:30:37,,,,,0.408,,
2023-01-26 06:18:17,0.980,,,,,,
2023-01-26 06:30:37 - 2023-01-26 06:37:07,,,,,,0.108,
2023-01-26 06:37:07 - 2023-01-26 06:42:37,,,,,0.092,,
2023-01-26 06:42:37 - 2023-01-26 07:09:07,,0.442,,,,,
2023-01-26 07:09:07 - 2023-01-26 07:56:07,,,,,0.783,,
2023-01-26 07:18:18,0.890,,,,,,
2023-01-26 07:56:07 - 2023-01-26 07:58:37,,,,,,0.042,
2023-01-26 07:58:37 - 2023-01-26 08:27:37,,,,,0.483,,
2023-01-26 08:17:08,0.930,,,,,,
2023-01-26 08:27:37 - 2023-01-26 08:32:37,,0.083,,,,,
2023-01-26 08:32:37 - 2023-01-26 08:33:07,,,,0.008,,,
2023-01-26 08:33:07 - 2023-01-26 08:41:07,,0.133,,,,,0.133
2023-01-26 08:41:07 - 2023-01-26 08:44:07,,,,0.050,,,
2023-01-26 08:44:07 - 2023-01-26 08:47:37,,,,,0.058,,0.058
2023-01-26 08:47:27,0.950,,,,,,
2023-01-26 08:47:37 - 2023-01-26 08:48:37,,,,0.017,,,
2023-01-26 08:48:37 - 2023-01-26 08:49:37,,,,,0.017,,0.017
2023-01-26 08:49:37 - 2023-01-26 08:51:37,,,,0.033,,,
2023-01-26 08:51:37 - 2023-01-26 08:53:37,,,,,0.033,,0.033
2023-01-26 08:53:37 - 2023-01-26 08:54:37,,,,0.017,,,
2023-01-26 08:54:37 - 2023-01-26 09:09:37,,,,,0.250,,0.250
2023-01-26 20:59:43,0.970,,,,,,
2023-01-27 01:07:44 - 2023-01-27 01:08:10,,,,,,,0.007
2023-01-27 02:17:13,0.940,,,,,,
2023-01-27 02:38:57 - 2023-01-27 07:50:00,,,,,,,5.184
2023-01-27 02:57:39 - 2023-01-27 03:10:09,,,,,0.208,,
2023-01-27 02:57:39 - 2023-01-27 06:04:09,,,,,,,3.108
2023-01-27 03:10:09 - 2023-01-27 04:10:39,,,,,,1.008,
2023-01-27 03:12:21,0.920,,,,,,
2023-01-27 03:42:22,0.910,,,,,,
2023-01-27 04:10:39 - 2023-01-27 04:17:09,,,,,0.108,,
2023-01-27 04:12:45,0.940,,,,,,
2023-01-27 04:17:09 - 2023-01-27 04:31:09,,0.233,,,,,
2023-01-27 04:31:09 - 2023-01-27 05:29:09,,,,,0.967,,
2023-01-27 04:42:46,0.990,,,,,,
2023-01-27 05:12:47,0.950,,,,,,
2023-01-27 05:29:09 - 2023-01-27 05:39:09,,,,,,0.167,
2023-01-27 05:39:09 - 2023-01-27 05:46:39,,,,,0.125,,
2023-01-27 05:43:17,0.830,,,,,,
2023-01-27 05:46:39 - 2023-01-27 06:04:09,,0.292,,,,,
2023-01-27 06:04:09 - 2023-01-27 06:05:09,,,,0.017,,,
2023-01-27 06:05:09 - 2023-01-27 06:06:39,,,,,0.025,,0.025
2023-01-27 06:06:39 - 2023-01-27 06:07:09,,,,0.008,,,
2023-01-27 06:07:09 - 2023-01-27 07:14:39,,,,,1.125,,
2023-01-27 06:07:09 - 2023-01-27 08:32:39,,,,,,,2.425
2023-01-27 07:00:11,0.960,,,,,,
2023-01-27 07:14:39 - 2023-01-27 07:54:09,,0.658,,,,,
2023-01-27 07:30:12,0.960,,,,,,
2023-01-27 07:54:09 - 2023-01-27 08:32:39,,,,,0.642,,
2023-01-27 08:32:39 - 2023-01-27 08:33:09,,,,0.008,,,
2023-01-27 08:33:09 - 2023-01-27 09:07:09,,,,,0.567,,
2023-01-27 08:33:09 - 2023-01-27 09:26:39,,,,,,,0.892
2023-01-27 09:07:09 - 2023-01-27 09:26:39,,0.325,,,,,
2023-01-27 09:30:13,0.980,,,,,,
2023-01-27 10:30:14,0.990,,,,,,
2023-01-27 12:29:23,0.940,,,,,,
2023-01-27 13:30:16,0.920,,,,,,
2023-01-27 14:11:57,0.950,,,,,,
2023-01-27 23:23:04,0.960,,,,,,
2023-01-28 00:59:53 - 2023-01-28 07:50:00,,,,,,,6.835
2023-01-28 01:15:35 - 2023-01-28 01:32:05,,,,,0.275,,
2023-01-28 01:15:35 - 2023-01-28 02:37:05,,,,,,,1.358
2023-01-28 01:32:05 - 2023-01-28 01:52:35,,,,,,0.342,
2023-01-28 01:52:35 - 2023-01-28 02:17:35,,,,,0.417,,
2023-01-28 02:17:35 - 2023-01-28 02:37:05,,,,,,0.325,
2023-01-28 02:25:59,0.980,,,,,,
2023-01-28 02:37:05 - 2023-01-28 02:37:35,,,,0.008,,,
2023-01-28 02:37:35 - 2023-01-28 02:42:35,,,,,0.083,,
2023-01-28 02:37:35 - 2023-01-28 03:32:05,,,,,,,0.908
2023-01-28 02:42:35 - 2023-01-28 03:04:35,,0.367,,,,,
2023-01-28 02:56:00,0.950,,,,,,
2023-01-28 03:04:35 - 2023-01-28 03:21:05,,,,,0.275,,
2023-01-28 03:21:05 - 2023-01-28 03:32:05,,0.183,,,,,
2023-01-28 03:26:00,0.960,,,,,,
2023-01-28 03:32:05 - 2023-01-28 03:33:05,,,,0.017,,,
2023-01-28 03:33:05 - 2023-01-28 03:35:05,,,,,0.033,,
2023-01-28 03:33:05 - 2023-01-28 06:47:35,,,,,,,3.242
2023-01-28 03:35:05 - 2023-01-28 03:42:05,,0.117,,,,,
2023-01-28 03:42:05 - 2023-01-28 03:56:05,,,,,0.233,,
2023-01-28 03:56:05 - 2023-01-28 03:59:05,,,,,,0.050,
2023-01-28 03:59:05 - 2023-01-28 04:07:35,,,,,0.142,,
2023-01-28 04:01:49,0.960,,,,,,
2023-01-28 04:07:35 - 2023-01-28 04:28:35,,,,,,0.350,
2023-01-28 04:28:35 - 2023-01-28 05:18:35,,,,,0.833,,
2023-01-28 04:31:50,0.980,,,,,,
2023-01-28 05:18:35 - 2023-01-28 05:34:05,,0.258,,,,,
2023-01-28 05:34:05 - 2023-01-28 06:47:35,,,,,1.225,,
2023-01-28 06:18:04,0.970,,,,,,
2023-01-28 06:47:35 - 2023-01-28 06:48:35,,,,0.017,,,
2023-01-28 06:48:35 - 2023-01-28 06:56:35,,,,,0.133,,
2023-01-28 06:48:35 - 2023-01-28 08:30:05,,,,,,,1.692
2023-01-28 06:56:35 - 2023-01-28 07:25:05,,0.475,,,,,
2023-01-28 07:18:05,0.910,,,,,,
2023-01-28 07:25:05 - 2023-01-28 07:27:35,,,,,0.042,,
2023-01-28 07:27:35 - 2023-01-28 07:30:05,,0.042,,,,,
2023-01-28 07:30:05 - 2023-01-28 08:30:05,,,,,1.000,,
2023-01-28 07:51:51,0.970,,,,,,
2023-01-28 08:30:05 - 2023-01-28 08:32:35,,,,0.042,,,
2023-01-28 08:32:35 - 2023-01-28 08:39:05,,,,,0.108,,
2023-01-28 08:32:35 - 2023-01-28 10:33:35,,,,,,,2.017
2023-01-28 08:34:24,0.940,,,,,,
2023-01-28 08:39:05 - 2023-01-28 09:00:35,,0.358,,,,,
2023-01-28 09:00:35 - 2023-01-28 10:07:05,,,,,1.108,,
2023-01-28 09:06:09,0.880,,,,,,
2023-01-28 10:06:31,0.930,,,,,,
2023-01-28 10:07:05 - 2023-01-28 10:33:35,,0.442,,,,,
2023-01-28 10:33:35 - 2023-01-28 10:35:05,,,,0.025,,,
2023-01-28 10:35:05 - 2023-01-28 10:59:05,,,,,0.400,,0.400
2023-01-28 10:38:27,0.950,,,,,,
2023-01-28 10:59:05 - 2023-01-28 11:00:35,,,,0.025,,,
2023-01-28 11:00:35 - 2023-01-28 11:20:05,,,,,0.325,,0.325
2023-01-28 11:08:28,0.960,,,,,,
2023-01-28 11:20:05 - 2023-01-28 11:21:05,,,,0.017,,,
2023-01-28 11:21:05 - 2023-01-28 11:28:05,,,,,0.117,,0.117
2023-01-28 11:28:05 - 2023-01-28 11:31:35,,,,0.058,,,
2023-01-28 11:31:35 - 2023-01-28 11:32:35,,,,,0.017,,
2023-01-28 11:31:35 - 2023-01-28 11:33:05,,,,,,,0.025
2023-01-28 11:32:35 - 2023-01-28 11:33:05,,0.008,,,,,
2023-01-28 12:39:22,0.980,,,,,,
2023-01-29 00:54:44 - 2023-01-29 00:56:32,,,,,,,0.030
2023-01-29 01:39:52 - 2023-01-29 07:50:00,,,,,,,6.169
2023-01-29 02:24:06 - 2023-01-29 02:25:06,,,,,0.017,,0.017
2023-01-29 02:25:06 - 2023-01-29 02:26:36,,,,0.025,,,
2023-01-29 02:26:36 - 2023-01-29 02:28:06,,,,,0.025,,0.025
2023-01-29 02:28:06 - 2023-01-29 02:29:36,,,,0.025,,,
2023-01-29 02:29:36 - 2023-01-29 02:46:36,,,,,0.283,,
2023-01-29 02:29:36 - 2023-01-29 06:26:06,,,,,,,3.942
2023-01-29 02:46:36 - 2023-01-29 03:22:06,,,,,,0.592,
2023-01-29 02:47:41,0.990,,,,,,
2023-01-29 03:17:42,0.990,,,,,,
2023-01-29 03:22:06 - 2023-01-29 04:03:06,,,,,0.683,,
2023-01-29 04:03:06 - 2023-01-29 04:35:06,,,,,,0.533,
2023-01-29 04:17:42,0.970,,,,,,
2023-01-29 04:35:06 - 2023-01-29 04:41:36,,,,,0.108,,
2023-01-29 04:41:36 - 2023-01-29 04:56:06,,0.242,,,,,
2023-01-29 04:47:43,0.850,,,,,,
2023-01-29 04:56:06 - 2023-01-29 06:21:06,,,,,1.417,,
2023-01-29 05:17:44,0.960,,,,,,
2023-01-29 05:47:45,0.950,,,,,,
2023-01-29 06:21:06 - 2023-01-29 06:26:06,,0.083,,,,,
2023-01-29 06:26:06 - 2023-01-29 06:26:36,,,,0.008,,,
2023-01-29 06:26:36 - 2023-01-29 06:27:36,,,,,0.017,,
2023-01-29 06:26:36 - 2023-01-29 09:49:06,,,,,,,3.375
2023-01-29 06:27:36 - 2023-01-29 06:51:36,,0.400,,,,,
2023-01-29 06:51:12,0.950,,,,,,
2023-01-29 06:51:36 - 2023-01-29 06:52:36,,,,,0.017,,
2023-01-29 06:52:36 - 2023-01-29 06:57:36,,0.083,,,,,
2023-01-29 06:57:36 - 2023-01-29 07:57:36,,,,,1.000,,
2023-01-29 07:51:13,0.890,,,,,,
2023-01-29 07:57:36 - 2023-01-29 08:29:06,,0.525,,,,,
2023-01-29 08:29:06 - 2023-01-29 09:13:36,,,,,0.742,,
2023-01-29 08:34:26,0.980,,,,,,
2023-01-29 09:07:27,0.890,,,,,,
2023-01-29 09:13:36 - 2023-01-29 09:35:06,,0.358,,,,,
2023-01-29 09:35:06 - 2023-01-29 09:37:06,,,,,0.033,,
2023-01-29 09:37:06 - 2023-01-29 09:46:06,,0.150,,,,,
2023-01-29 09:37:40,0.970,,,,,,
2023-01-29 09:46:06 - 2023-01-29 09:49:06,,,,,0.050,,
2023-01-29 22:15:04,1.000,,,,,,
2023-01-30 01:26:11 - 2023-01-30 01:26:16,,,,,,,0.001
2023-01-30 05:14:13 - 2023-01-30 05:20:13,,,,,0.100,,0.100
2023-01-30 05:20:13 - 2023-01-30 05:23:43,,,,0.058,,,
2023-01-30 05:23:43 - 2023-01-30 05:43:13,,,,,0.325,,0.325
2023-01-30 05:37:14 - 2023-01-30 07:50:01,,,,,,,2.213
2023-01-30 05:43:13 - 2023-01-30 05:44:13,,,,0.017,,,
2023-01-30 05:44:13 - 2023-01-30 05:45:13,,,,,0.017,,0.017
2023-01-30 05:45:13 - 2023-01-30 05:47:13,,,,0.033,,,
2023-01-30 05:47:13 - 2023-01-30 06:16:43,,,,,0.492,,
2023-01-30 05:47:13 - 2023-01-30 06:53:43,,,,,,,1.108
2023-01-30 06:16:43 - 2023-01-30 06:53:43,,,,,,0.617,
2023-01-30 06:32:54,0.980,,,,,,
2023-01-30 06:53:43 - 2023-01-30 06:54:13,,,,0.008,,,
2023-01-30 06:54:13 - 2023-01-30 07:00:13,,,,,0.100,,
2023-01-30 06:54:13 - 2023-01-30 08:00:43,,,,,,,1.108
2023-01-30 07:00:13 - 2023-01-30 07:08:13,,0.133,,,,,
2023-01-30 07:02:55,0.930,,,,,,
2023-01-30 07:08:13 - 2023-01-30 07:23:13,,,,,0.250,,
2023-01-30 07:23:13 - 2023-01-30 07:37:43,,,,,,0.242,
2023-01-30 07:37:43 - 2023-01-30 07:48:43,,,,,0.183,,
2023-01-30 07:40:50,0.840,,,,,,
2023-01-30 07:48:43 - 2023-01-30 07:59:43,,,,,,0.183,
2023-01-30 07:59:43 - 2023-01-30 08:00:43,,,,,0.017,,
2023-01-30 08:00:43 - 2023-01-30 08:02:43,,,,0.033,,,
2023-01-30 08:02:43 - 2023-01-30 08:14:43,,,,,0.200,,
2023-01-30 08:02:43 - 2023-01-30 08:55:43,,,,,,,0.883
2023-01-30 08:10:51,0.910,,,,,,
2023-01-30 08:14:43 - 2023-01-30 08:16:13,,0.025,,,,,
2023-01-30 08:16:13 - 2023-01-30 08:20:13,,,,,0.067,,
2023-01-30 08:20:13 - 2023-01-30 08:21:43,,0.025,,,,,
2023-01-30 08:21:43 - 2023-01-30 08:55:43,,,,,0.567,,
2023-01-30 08:40:52,0.990,,,,,,
2023-01-30 08:55:43 - 2023-01-30 08:56:43,,,,0.017,,,
2023-01-30 08:56:43 - 2023-01-30 09:12:13,,,,,0.258,,0.258
2023-01-30 09:12:13 - 2023-01-30 09:13:13,,,,0.017,,,
2023-01-30 09:13:13 - 2023-01-30 09:22:13,,,,,0.150,,
2023-01-30 09:13:13 - 2023-01-30 11:31:13,,,,,,,2.300
2023-01-30 09:22:13 - 2023-01-30 09:35:13,,0.217,,,,,
2023-01-30 09:35:13 - 2023-01-30 10:19:13,,,,,0.733,,
2023-01-30 10:19:13 - 2023-01-30 10:22:43,,,,,,0.058,
2023-01-30 10:22:43 - 2023-01-30 10:41:13,,,,,0.308,,
2023-01-30 10:28:00,0.980,,,,,,
2023-01-30 10:41:13 - 2023-01-30 11:23:43,,0.708,,,,,
2023-01-30 11:23:43 - 2023-01-30 11:24:13,,,,,0.008,,
2023-01-30 11:24:13 - 2023-01-30 11:26:13,,0.033,,,,,
2023-01-30 11:26:13 - 2023-01-30 11:31:13,,,,,0.083,,
2023-01-30 11:28:01,0.980,,,,,,
2023-01-30 11:31:13 - 2023-01-30 11:52:13,,,,0.350,,,
2023-01-30 11:52:13 - 2023-01-30 11:55:43,,,,,0.058,,0.058
2023-01-31 01:29:25 - 2023-01-31 01:30:59,,,,,,,0.026
2023-01-31 01:33:02 - 2023-01-31 01:34:55,,,,,,,0.031
2023-01-31 01:38:33 - 2023-01-31 02:48:36,,,,,,,1.168
2023-01-31 02:18:55,0.970,,,,,,
2023-01-31 02:56:36 - 2023-01-31 03:00:06,,,,,0.058,,0.058
2023-01-31 03:00:06 - 2023-01-31 03:01:06,,,,0.017,,,
2023-01-31 03:01:06 - 2023-01-31 03:06:06,,,,,0.083,,0.083
2023-01-31 03:06:06 - 2023-01-31 03:07:36,,,,0.025,,,
2023-01-31 03:07:03 - 2023-01-31 07:50:01,,,,,,,4.716
2023-01-31 03:07:36 - 2023-01-31 03:20:06,,,,,0.208,,
2023-01-31 03:07:36 - 2023-01-31 06:50:36,,,,,,,3.717
2023-01-31 03:20:06 - 2023-01-31 03:40:36,,,,,,0.342,
2023-01-31 03:40:36 - 2023-01-31 03:44:36,,,,,0.067,,
2023-01-31 03:42:39,0.960,,,,,,
2023-01-31 03:44:36 - 2023-01-31 04:09:36,,,,,,0.417,
2023-01-31 04:09:36 - 2023-01-31 04:13:36,,,,,0.067,,
2023-01-31 04:12:42,0.970,,,,,,
2023-01-31 04:13:36 - 2023-01-31 04:26:06,,0.208,,,,,
2023-01-31 04:26:06 - 2023-01-31 04:54:06,,,,,0.467,,
2023-01-31 04:42:43,0.950,,,,,,
2023-01-31 04:54:06 - 2023-01-31 05:00:06,,,,,,0.100,
2023-01-31 05:00:06 - 2023-01-31 05:36:36,,,,,0.608,,
