Date,Environmental sound levels(dBASPL),Headphone sound levels(dBASPL),Oxygen saturation(%)
2023-05-31 03:29:05 - 2023-05-31 03:59:05,46.658,,
2023-05-31 03:36:08,,,0.960
2023-05-31 03:59:05 - 2023-05-31 04:29:05,50.446,,
2023-05-31 04:09:24,,,0.920
2023-05-31 04:29:05 - 2023-05-31 04:59:05,32.844,,
2023-05-31 04:39:25,,,0.960
2023-05-31 04:59:05 - 2023-05-31 05:29:05,44.736,,
2023-05-31 05:09:25,,,0.960
2023-05-31 05:29:05 - 2023-05-31 05:59:05,47.686,,
2023-05-31 05:41:46,,,0.940
2023-05-31 05:59:05 - 2023-05-31 06:29:05,34.057,,
2023-05-31 06:22:29,,,0.950
2023-05-31 06:29:05 - 2023-05-31 06:59:03,47.314,,
2023-05-31 06:52:28,,,0.940
2023-05-31 06:59:03 - 2023-05-31 07:29:03,67.323,,
2023-05-31 07:22:29,,,0.960
2023-05-31 07:29:03 - 2023-05-31 07:59:03,51.640,,
2023-05-31 07:59:03 - 2023-05-31 08:29:01,33.056,,
2023-05-31 08:29:01 - 2023-05-31 08:58:56,62.494,,
2023-05-31 08:58:56 - 2023-05-31 09:28:51,43.979,,
2023-05-31 09:28:51 - 2023-05-31 09:58:46,48.802,,
2023-05-31 09:31:21,,,0.940
2023-05-31 09:58:46 - 2023-05-31 10:28:45,47.528,,
2023-05-31 10:28:45 - 2023-05-31 10:58:45,49.531,,
2023-05-31 10:58:45 - 2023-05-31 11:28:45,65.742,,
2023-05-31 11:28:45 - 2023-05-31 11:58:40,66.755,,
2023-05-31 11:58:40 - 2023-05-31 12:28:40,72.095,,
2023-05-31 12:28:40 - 2023-05-31 12:58:40,72.511,,
2023-05-31 12:58:40 - 2023-05-31 13:28:40,71.014,,
2023-05-31 13:28:40 - 2023-05-31 13:58:40,61.770,,
2023-05-31 13:58:40 - 2023-05-31 14:28:40,57.644,,
2023-05-31 14:28:40 - 2023-05-31 14:58:36,65.786,,
2023-05-31 14:58:36 - 2023-05-31 15:28:35,67.603,,
2023-05-31 15:28:35 - 2023-05-31 15:58:30,77.154,,
2023-05-31 15:58:30 - 2023-05-31 16:28:30,63.935,,
2023-05-31 16:28:30 - 2023-05-31 16:58:30,76.330,,
2023-05-31 16:58:30 - 2023-05-31 17:28:25,64.087,,
2023-05-31 17:28:25 - 2023-05-31 17:58:20,70.959,,
2023-05-31 17:58:20 - 2023-05-31 18:28:15,72.357,,
2023-05-31 18:28:15 - 2023-05-31 18:58:10,72.384,,
2023-05-31 18:58:10 - 2023-05-31 19:28:10,70.405,,
2023-05-31 19:28:10 - 2023-05-31 19:58:05,69.876,,
2023-05-31 19:58:05 - 2023-05-31 20:28:00,71.841,,
2023-05-31 20:28:00 - 2023-05-31 20:58:00,65.308,,
2023-05-31 20:58:00 - 2023-05-31 21:27:55,64.013,,
2023-05-31 21:27:55 - 2023-05-31 21:57:55,72.104,,
2023-05-31 21:57:55 - 2023-05-31 22:27:55,56.521,,
2023-05-31 22:27:55 - 2023-05-31 22:33:35,68.266,,
2023-05-31 23:06:40 - 2023-05-31 23:36:35,66.123,,
2023-05-31 23:36:35 - 2023-06-01 00:06:35,59.384,,
2023-06-01 00:06:35 - 2023-06-01 00:36:30,58.137,,
2023-06-01 00:23:22,,,0.990
2023-06-01 00:36:30 - 2023-06-01 01:06:30,37.608,,
2023-06-01 01:06:30 - 2023-06-01 01:36:30,32.685,,
2023-06-01 01:23:23,,,0.960
2023-06-01 01:36:30 - 2023-06-01 02:06:25,46.850,,
2023-06-01 02:06:25 - 2023-06-01 02:36:20,44.040,,
2023-06-01 02:10:45,,,0.930
2023-06-01 02:36:20 - 2023-06-01 03:06:15,38.668,,
2023-06-01 02:40:45,,,0.940
2023-06-01 03:06:15 - 2023-06-01 03:36:10,41.953,,
2023-06-01 03:36:10 - 2023-06-01 04:06:05,55.160,,
2023-06-01 03:52:02,,,0.950
2023-06-01 04:06:05 - 2023-06-01 04:36:00,39.563,,
2023-06-01 04:22:03,,,0.960
